ID,Tipo,SKU,Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Día en que empieza el precio rebajado,Día en que termina el precio rebajado,Estado del impuesto,Clase de impuesto,¿En inventario?,Inventario,Cantidad de bajo inventario,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Peso (kg),Longitud (cm),Ancho (cm),Altura (cm),¿Permitir valoraciones de clientes?,Nota de compra,Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición
17606,simple,MCR3,Fisher Price Montable,0,0,visible,,"Precio de comparación $700 Montable, Fisher Price, Seminuevo sin detalle, , Sin notas",,,taxable,,1,1,,0,0,,,,,0,700,,280,A Jugar > Montables y correpasillos Bebé,"Montable, Polanco, Ver todo de a jugar",,"https://entrepequestienda.com/wp-content/uploads/2021/11/MCR3P.jpg, https://entrepequestienda.com/wp-content/uploads/2021/11/MCR31P.jpg, https://entrepequestienda.com/wp-content/uploads/2021/11/MCR32P.jpg",,,,,,,,,0
17607,simple,MCR4,Montable Brio,0,0,visible,,"Precio de comparación $1000 Montable, Brio, Seminuevo detalles de uso, , Sin notas",,,taxable,,1,1,,0,0,,,,,0,1000,,450,A Jugar > Montables y correpasillos Bebé,"Montable, Polanco, Ver todo de a jugar",,"https://entrepequestienda.com/wp-content/uploads/2021/11/MCR4P.jpg, https://entrepequestienda.com/wp-content/uploads/2021/11/MCR41P.jpg, https://entrepequestienda.com/wp-content/uploads/2021/11/MCR42P.jpg",,,,,,,,,0
17608,simple,MCR5,Montable y Correpasillos Vtech,0,0,visible,,"Precio de comparación $1300 Montable y correpasillos, General, Seminuevo sin detalle, , Sin notas",,,taxable,,1,1,,0,0,,,,,0,1300,,580,A Jugar > Montables y correpasillos Bebé,"Montable y correpasillos, Polanco, Ver todo de a jugar",,"https://entrepequestienda.com/wp-content/uploads/2021/11/MCR51P.jpg, https://entrepequestienda.com/wp-content/uploads/2021/11/MCR52P.jpg, https://entrepequestienda.com/wp-content/uploads/2021/11/MCR53P.jpg",,,,,,,,,0
17611,simple,CYM3,Chicco Colecho Next 2 me,1,0,visible,,"Precio de comparación $5000 Colecho, Chicco, Seminuevo sin detalle,",,,taxable,,1,1,,0,0,,,,,0,5000,,2490,A dormir > Colechos y Moisés,"Colecho, Polanco, Ver todo de a dormir",,"https://entrepequestienda.com/wp-content/uploads/2021/11/CYM3P.jpg, https://entrepequestienda.com/wp-content/uploads/2021/11/CYM31P.jpg, https://entrepequestienda.com/wp-content/uploads/2021/11/CYM32P.jpg",,,,,,,,,0
17613,simple,CYM5,Chicco Colecho Sin Cinturones,1,0,visible,,"Precio de comparación $3400 Colecho, Chicco, Seminuevo con detalle, , Sin notas",,,taxable,,1,1,,0,0,,,,,0,3400,,1890,A dormir > Colechos y Moisés,"Colecho, Polanco, Ver todo de a dormir",,"https://entrepequestienda.com/wp-content/uploads/2021/11/CYM5P.jpg, https://entrepequestienda.com/wp-content/uploads/2021/11/CYM51P.jpg, https://entrepequestienda.com/wp-content/uploads/2021/11/CYM52P.jpg",,,,,,,,,0
17615,simple,CDM3,Cuna Moises con colchon,1,0,visible,,"Precio de comparación $5000 7 meses, General, Seminuevo sin detalle,",,,taxable,,1,1,,0,0,,,,,0,5000,,2500,A dormir > Cunas de madera,"Moisés 7 meses, Polanco, Ver todo de a dormir",,"https://entrepequestienda.com/wp-content/uploads/2021/11/CDM3P.jpg, https://entrepequestienda.com/wp-content/uploads/2021/11/CDM31P.jpg, https://entrepequestienda.com/wp-content/uploads/2021/11/CDM32P.jpg",,,,,,,,,0
17623,simple,GYT4,Gimnasio Yookido,1,0,visible,,"Precio de comparación $3200 2 en 1, General, Seminuevo sin detalle, , Sin notas",,,taxable,,1,1,,0,0,,,,,0,3200,,1440,A Jugar > Gimnasios y tapetes,"2 en 1, Polanco, Ver todo de a jugar",,"https://entrepequestienda.com/wp-content/uploads/2021/11/GYT4P.jpg, https://entrepequestienda.com/wp-content/uploads/2021/11/GYT41P.jpg, https://entrepequestienda.com/wp-content/uploads/2021/11/GYT42P.jpg",,,,,,,,,0
17624,simple,GYT5,Gimnasio Disney Baby Mr. Ray Ocean Lights,1,0,visible,,"Precio de comparación $3200 2 en 1, General, Seminuevo con detalle, , Sin notas",,,taxable,,1,1,,0,0,,,,,0,3200,,1125,A Jugar > Gimnasios y tapetes,"2 en 1, Polanco, Ver todo de a jugar",,"https://entrepequestienda.com/wp-content/uploads/2021/11/GYT5P.jpg, https://entrepequestienda.com/wp-content/uploads/2021/11/GYT51P.jpg, https://entrepequestienda.com/wp-content/uploads/2021/11/GYT52P.jpg",,,,,,,,,0
17629,simple,CAR5A,Stokke Sin portabebé,0,0,visible,,"Precio de comparación $26360 Tradicional, Sin portabebé, Stokke, Seminuevo sin detalle, , Sin notas",,,taxable,,1,1,,0,0,,,,,0,26360,,11990,A pasear > Carriolas,"Anzures, Sin Portabebé, Ver todo de a pasear",,"https://entrepequestienda.com/wp-content/uploads/2021/11/CAR5A.jpg, https://entrepequestienda.com/wp-content/uploads/2021/11/CAR51A.jpg, https://entrepequestienda.com/wp-content/uploads/2021/11/CAR52A.jpg",,,,,,,,,0
17631,simple,CAR7A,Chicco Doble,1,0,visible,,"Precio de comparación $10299 Gemelar Vertical, Doble, Chicco, Seminuevo sin detalle, , Sin notas",,,taxable,,1,1,,0,0,,,,,0,10299,,4375,A pasear > Carriolas,"Anzures, Doble, Ver todo de a pasear",,"https://entrepequestienda.com/wp-content/uploads/2021/11/CAR7A.jpg, https://entrepequestienda.com/wp-content/uploads/2021/11/CAR71A.jpg, https://entrepequestienda.com/wp-content/uploads/2021/11/CAR72A.jpg",,,,,,,,,0
